"str_len,zero,mid,ex,rd,min_sn,max_sn"
5,729.2,729.27,730.27,736.13,729.2,729.2
10,1525.53,1519.47,1523.27,1523.73,1525.53,1525.53
20,3152.67,3161.13,3169.07,3173,3152.67,3152.67
50,8149.93,8118.27,8146.47,8146.07,8149.93,8149.93
"str_len,zero,mid,ex,rd,min_sn,max_sn"
100,15946.8,15934,15937.8,15987.53,15946.8,15946.8
"str_len,zero,mid,ex,rd,min_sn,max_sn"
5,733.07,730,736.27,736.27,733.07,731.8
10,1643.07,1651.73,1674.2,1661.53,1643.07,1681.07
50,7971.93,7972.6,7977.67,8010.07,7971.93,7999
100,15984.47,16022.6,15943.47,15990.53,15984.47,16078.93
"str_len,zero,mid,ex,rd,min_sn,max_sn"
5,726.27,733,737.4,737.47,726.27,734.87
10,1575.27,1555.73,1552.53,1557.33,1575.27,1555.33
"str_len,zero,mid,ex,rd,min_sn,max_sn"
"str_len,zero,mid,ex,rd,min_sn,max_sn"
200,32239.2,32328.67,32339.07,32264,32239.2,32199.67

akkumuleret:
"str_len,zero,mid,ex,rd,min_sn,max_sn"
5,733.07,730,736.27,736.27,733.07,731.8
10,1643.07,1651.73,1674.2,1661.53,1643.07,1681.07
50,7971.93,7972.6,7977.67,8010.07,7971.93,7999
100,15984.47,16022.6,15943.47,15990.53,15984.47,16078.93
200,32239.2,32328.67,32339.07,32264,32239.2,32199.6
